,kaywords,weight
88,"dict_keys(['دمن', 'مرض', 'عوف', 'مرض دمن', 'قمم لوب', 'علج', 'لوب', 'ختر شرك', 'طبي', 'شبن'])","dict_values([0.463, 0.373, 0.272, 0.174, 0.174, 0.139, 0.134, 0.13, 0.121, 0.109])"
89,"dict_keys(['سبق', 'فرق', 'طبق لعب', 'مصر فرق', 'لعب', 'فریقی', 'طبق لعب لءلكترن', 'ریز', 'لعب لءلكترن', 'قور'])","dict_values([0.214, 0.19, 0.168, 0.163, 0.155, 0.151, 0.151, 0.151, 0.126, 0.119])"
90,"dict_keys(['قمم ستد', 'ستد', 'ولع', 'كنلج', 'قمم', 'حور', 'عوم', 'لقم', 'نجع', 'قدم حور'])","dict_values([0.231, 0.231, 0.198, 0.154, 0.149, 0.139, 0.112, 0.111, 0.108, 0.108])"
91,"dict_keys(['رمض', 'فيي', 'رمض نصص', 'فني', 'حجم عمل', 'صلح', 'نصص', 'شيرا', 'شرك بدا', 'سحل شمل'])","dict_values([0.301, 0.3, 0.202, 0.171, 0.168, 0.151, 0.135, 0.126, 0.126, 0.126])"
92,"dict_keys(['كنلج لمل', 'لمل', 'لبن ركز', 'ركز', 'كنلج', 'جرد لمل', 'دفع', 'لبن', 'تستهدف', 'لذي'])","dict_values([0.322, 0.29, 0.258, 0.196, 0.186, 0.16, 0.149, 0.143, 0.132, 0.129])"
93,"dict_keys(['ركس', 'علمی', 'لیء', 'ینن', 'یمك', 'لیء ءمر', 'عبر رنت', 'میل', 'صریی', 'دریب'])","dict_values([0.434, 0.305, 0.243, 0.195, 0.195, 0.195, 0.184, 0.146, 0.146, 0.146])"
94,"dict_keys(['وكي', 'فكر حدث', 'حدي رءس', 'ولي رحل', 'مرث', 'فرق', 'درب مدد', 'رحل', 'قور', 'لهو'])","dict_values([0.161, 0.161, 0.161, 0.153, 0.153, 0.147, 0.143, 0.139, 0.135, 0.129])"
95,"dict_keys(['روز', 'روز نكت', 'نكت', 'ورد', 'جمع', 'جمع روز', 'وصل', 'وصل ورد', 'توح', 'نصص'])","dict_values([0.402, 0.277, 0.265, 0.15, 0.147, 0.127, 0.125, 0.119, 0.114, 0.113])"
96,"dict_keys(['تر', 'سور نتشرز', 'نصص', 'علم', 'حوي', 'ثمر', 'نتشرز', 'شرك مصر', 'نطق', 'عرب'])","dict_values([0.338, 0.141, 0.127, 0.112, 0.111, 0.109, 0.105, 0.104, 0.099, 0.095])"
97,"dict_keys(['سفر', 'بدع', 'ورد عمل', 'طلب خرج', 'ورد', 'خرج', 'نشط', 'بدع ورد عمل', 'بدع ورد', 'طعن'])","dict_values([0.184, 0.169, 0.153, 0.145, 0.135, 0.134, 0.132, 0.13, 0.13, 0.125])"
